STRECKE_NR,RICHTUNG,KM_I,KM_L,LAENGE,GEOGR_BREITE,GEOGR_LAENGE,GK_R_DGN,GK_H_DGN
1000,0,117290088,"172,9 + 88",14,54.758979,9.39861587,3525737.557,6070030.356
1005,0,100000076,"0,0 + 76",7,54.77366638,9.43702642,3528200.096,6071680.046
1005,0,100280092,"2,8 + 92",71,54.76401032,9.42687017,3527553.054,6070601.131
1005,0,100350019,"3,5 + 19",22,54.76478031,9.41728762,3526935.732,6070683.133
1005,0,100390051,"3,9 + 51",47,54.76413617,9.41067797,3526510.709,6070608.918
1011,0,100460058,"4,6 + 58",17,54.55593361,9.33671038,3521860.66,6047407.285
1011,0,100830002,"8,3 + 2",3,54.53906266,9.28916059,3518791.993,6045515.622
1011,0,102490072,"24,9 + 72",5,54.47632863,9.07274531,3504791.702,6038496.427
1020,0,100360099,"3,6 + 99",71,54.31532186,10.09532397,3571357.036,6021125.504
1020,0,100640081,"6,4 + 81",19,54.33839752,10.08376629,3570565.447,6023682.3
1020,0,100690018,"6,9 + 18",4,54.34206956,10.08614184,3570713.654,6024093.392
1020,0,100860010,"8,6 + 10",93,54.35652256,10.09311082,3571141.924,6025709.078
1020,0,100920065,"9,2 + 65",11,54.36156321,10.08827449,3570818.852,6026265.261
1020,0,101030045,"10,3 + 45",182,54.36788523,10.07587165,3570001.901,6026956.556
1020,0,101140007,"11,4 + 7",14,54.36985916,10.06149393,3569064.152,6027162.097
1020,0,101140024,"11,4 + 24",6,54.36982538,10.06123886,3569047.632,6027158.087
1020,0,101260074,"12,6 + 74",15,54.3673446,10.04248468,3567832.895,6026863.774
1020,0,101270045,"12,7 + 45",5,54.36723719,10.04140834,3567763.117,6026850.785
1020,0,101800054,"18,0 + 54",3,54.40183187,9.98836034,3564261.331,6030651.744
1020,0,102800084,"28,0 + 84",9,54.44755216,9.86319943,3556071.078,6035633.988
1020,0,103080023,"30,8 + 23",5,54.465816,9.83701405,3554348.326,6037646.411
1020,0,103150027,"31,5 + 27",7,54.47133069,9.83173372,3553998.703,6038256.19
1020,0,103170025,"31,7 + 25",14,54.4729431,9.83044287,3553912.9,6038434.678
1020,0,103210001,"32,1 + 1",9,54.4757448,9.82726159,3553703,6038744.105
1020,0,103520034,"35,2 + 34",10,54.50163888,9.81419487,3552822.63,6041616.494
1020,0,104440090,"44,4 + 90",128,54.58330771,9.82007325,3553097.452,6050711.531
1020,0,104520038,"45,2 + 38",21,54.58865941,9.81328231,3552651.505,6051302.137
1020,0,105280093,"52,8 + 93",5,54.64766293,9.75657335,3548914.853,6057829.039
1020,0,107710025,"77,1 + 25",22,54.78021084,9.48149889,3531057.021,6072427.298
1020,0,107760039,"77,6 + 39",3,54.77701701,9.47573066,3530688.291,6072069.236
1020,0,107810023,"78,1 + 23",11,54.77400935,9.47029992,3530341.082,6071732.074
1020,0,107840023,"78,4 + 23",11,54.77214496,9.46693416,3530125.87,6071523.088
1020,0,107860044,"78,6 + 44",24,54.77079969,9.4644112,3529964.496,6071372.258
